,Barking and Dagenham,Barnet,Barnsley,Bath and North East Somerset,Bedford,Bexley,Birmingham,Blackburn with Darwen,Blackpool,Bolton,"Bournemouth, Christchurch and Poole",Bracknell Forest,Bradford,Brent,Brighton and Hove,"Bristol, City of",Bromley,Buckinghamshire,Bury,Calderdale,Camden,Central Bedfordshire,Cheshire East,Cheshire West and Chester,City of London,Cornwall,County Durham,Coventry,Croydon,Darlington,Derby,Doncaster,Dorset,Dudley,Ealing,East Riding of Yorkshire,Enfield,Gateshead,Greenwich,Hackney,Halton,Hammersmith and Fulham,Haringey,Harrow,Hartlepool,Havering,"Herefordshire, County of",Hillingdon,Hounslow,Isle of Wight,Isles of Scilly,Islington,Kensington and Chelsea,"Kingston upon Hull, City of",Kingston upon Thames,Kirklees,Knowsley,Lambeth,Leeds,Leicester,Lewisham,Liverpool,Luton,Manchester,Medway,Merton,Middlesbrough,Milton Keynes,Newcastle upon Tyne,Newham,North East Lincolnshire,North Lincolnshire,North Somerset,North Tyneside,Northumberland,Nottingham,Oldham,Peterborough,Plymouth,Portsmouth,Reading,Redbridge,Redcar and Cleveland,Richmond upon Thames,Rochdale,Rotherham,Rutland,Salford,Sandwell,Sefton,Sheffield,Shropshire,Slough,Solihull,South Gloucestershire,South Tyneside,Southampton,Southend-on-Sea,Southwark,St. Helens,Stockport,Stockton-on-Tees,Stoke-on-Trent,Sunderland,Sutton,Swindon,Tameside,Telford and Wrekin,Thurrock,Torbay,Tower Hamlets,Trafford,Wakefield,Walsall,Waltham Forest,Wandsworth,Warrington,West Berkshire,Westminster,Wigan,Wiltshire,Windsor and Maidenhead,Wirral,Wokingham,Wolverhampton,York,Derbyshire,Leicestershire,Lincolnshire,Northamptonshire,Nottinghamshire,Cambridgeshire,Essex,Hertfordshire,Norfolk,Suffolk,Cumbria,Lancashire,East Sussex,Hampshire,Kent,Oxfordshire,Surrey,West Sussex,Devon,Gloucestershire,Somerset,Staffordshire,Warwickshire,Worcestershire,North Yorkshire
Wiltshire,14547,13207,23047,8668,15660,15152,13680,23358,24720,21000,15211,11274,23400,12109,16175,6600,12840,14965,22140,25343,11519,39395,39845,43144,11988,19693,47371,12420,12720,21900,15089,18540,39903,16730,12130,27257,12900,24660,12670,12279,23823,11397,12951,12660,44549,14575,43945,13388,13104,18543,,11541,10662,22380,12600,26056,25053,12530,20189,16920,13349,21029,14160,19440,18096,12774,25469,14340,23940,13509,23223,42459,10554,26181,,18540,22560,15360,12531,10851,7740,13889,42614,13151,23760,20385,,20400,16050,24663,17729,18921,9720,13800,9004,26799,8811,16140,12277,24811,18780,41489,16980,25049,13380,5390,22172,47268,16829,14348,12599,24015,19229,15780,12822,12551,23040,43664,11477,18970,0,12040,24253,9240,15180,19860,19124,19037,24344,19183,38886,16390,16723,41438,54683,41101,,24058,37963,12506,15790,10209,13828,40742,11388,11825,34105,,13267,43516,23050
Windsor and Maidenhead,7738,6038,15631,13958,9931,9231,10171,18403,16903,14971,12611,3437,14791,5360,9178,9163,6463,9469,15631,16734,4590,9685,14795,16920,6031,21305,38655,9211,5123,13771,13120,11191,35624,12860,5023,17992,5851,16471,5813,5425,14486,4591,7234,5371,19411,7586,39808,4719,5099,16791,,4732,4782,14671,4763,19386,17795,6173,13171,9391,6984,13411,7651,12991,10736,5740,18183,7471,15751,6700,16593,33273,12757,19962,,11611,16651,7771,15283,11303,3763,7020,19055,3870,15871,14207,,14791,13201,16685,13231,16552,1468,9631,9351,19090,8080,9823,6660,16290,12391,17463,10540,17791,6383,6523,15875,23193,9360,15960,5790,17909,12211,12331,6013,5162,13243,9526,5520,13903,10094,0,16884,4810,12511,11971,18955,12648,31486,13274,29700,9881,10204,15393,48486,30603,,15681,26265,10360,9893,7877,6471,11859,13455,11533,29826,,9707,30078,16152
Wirral,17557,14805,10741,24287,16030,17258,9308,8779,7930,7021,39586,19382,10321,13103,17803,15428,15068,17622,7561,10222,13715,39681,9970,8404,13640,44677,42372,11350,14288,11355,11348,11641,51589,10810,14619,16476,15428,14055,15055,14027,5709,15005,14219,11475,15915,16563,42510,14967,17404,31763,,13289,14750,12601,15308,11537,6280,14558,8281,14885,15997,2221,16868,5101,20302,15445,13695,9795,13215,15726,17283,35937,19562,16774,,13205,7832,14701,23410,20528,16088,16357,17539,14775,6421,12425,,6301,11212,5315,10025,9865,15548,11588,18979,16674,19750,17708,15105,5196,6845,12975,7663,16102,16088,17228,7053,18629,17737,23967,14767,10131,10441,10748,14510,14928,4685,43950,13683,6015,25464,17917,0,18608,7988,10321,16043,14962,36662,16258,35964,18258,17398,42739,46358,41387,,7388,38249,19423,16525,16578,15851,41028,21676,14173,45791,,39969,31252,12717
Wokingham,8847,6727,14700,7986,10620,8308,6720,19080,15780,15660,9991,654,14280,6049,8075,6000,5340,9685,15120,16223,6085,11574,14078,15174,5023,18442,39122,5400,4320,14460,9780,10680,56713,9900,4945,18681,6540,17160,6075,6114,14224,4664,6471,4860,20100,8275,38415,5783,7096,12000,,5421,4722,14160,4740,20075,17404,5478,12660,10080,7073,13560,9540,12420,8233,5238,16260,7200,16440,6838,15893,33310,9740,20651,,12300,15540,8460,12180,7680,780,7409,19804,3127,16560,13620,,14124,9570,16474,12060,12621,2220,6420,9275,19779,4440,8880,5857,14807,11760,15540,9960,18480,5160,3600,14852,40459,10049,11040,6599,15658,11700,8820,6702,4368,12660,7805,4658,13320,8160,4707,16725,0,8160,12660,13755,11117,32175,12667,29737,9370,9163,11529,49463,30512,,15011,26954,6917,9190,4389,5068,11836,9887,8525,27296,,6547,28907,15641
Wolverhampton,11487,8887,8580,15097,9300,11312,1200,8118,8100,5760,15571,9534,10020,9392,12035,6600,9240,10386,6900,10161,7585,,4894,6894,7572,34222,39842,3420,8460,12540,4680,8460,40954,1949,10560,16217,8640,15240,9202,7974,5817,9177,8211,7800,17100,10555,32355,11503,10916,22516,,7221,8802,11940,9180,10876,8876,8489,8220,5460,10319,4860,14640,4200,11800,10100,14880,5520,14400,9598,13013,32350,10554,17959,,6600,7680,9120,14820,14760,7380,9989,18724,8947,7440,7980,,5160,1825,7774,6960,4101,9120,3955,9455,17859,12420,11700,8557,6582,3540,14160,1740,17460,10260,8100,6632,8779,11909,14820,8699,8282,7740,2159,8502,9005,2940,33375,7700,3600,12968,10768,8025,8760,0,10800,7695,8777,33075,10389,13565,14230,11743,31149,51803,34352,,5590,31214,12437,11504,7348,10168,14126,12167,5202,35156,,7327,6513,12758
York,11247,9667,5160,21277,10860,12448,8460,9840,10680,7080,19471,12534,3420,9289,13535,13680,9840,13527,7140,5483,8365,13974,12715,12534,8172,40342,8702,9960,9660,1620,7200,1260,48274,11700,11245,5427,9300,3900,9502,8514,9424,9777,8811,9300,4860,10975,42795,11419,11876,21068,,7821,9222,5340,10680,6671,9768,9390,1860,8520,10799,7500,9540,4680,13300,10530,4440,10380,3300,10089,6413,10870,17814,6829,,7145,7411,5100,23040,15060,10560,10529,6352,10087,6300,3240,,6060,11070,11014,3960,13641,10380,11220,17231,6399,13920,12300,9157,8471,6540,3720,9360,5887,10560,12480,5492,20599,12749,23297,9179,9110,3180,10200,9102,9545,7800,34575,8480,7080,20191,12088,11144,12480,10380,0,10798,9536,11595,15763,7602,11410,13243,32349,47363,35972,,9070,32834,13937,12850,14050,10528,15626,22307,12450,42476,,40254,34247,2321
Derbyshire,15587,13047,9860,20337,8900,15288,6500,15817,12740,13459,24051,17414,13280,13389,16675,12440,14000,16305,13399,15463,12225,37946,13557,15133,11852,42942,41242,7940,12620,13520,3920,11060,46254,9800,14792,17441,13460,16400,13447,12309,13935,13264,12491,13220,18860,14475,40775,16205,15616,30028,,11861,12962,13640,14840,15355,15935,13541,10040,6380,14029,12860,10880,10219,18567,15277,15973,9560,15500,14249,16213,,16158,19010,,4940,13670,10520,20060,19340,15260,14149,18504,14040,13399,8660,,12859,9050,16134,7220,12281,15380,9200,15295,18539,18260,15740,13061,13567,9559,15253,8120,17240,14360,13220,13343,18579,17569,20060,12979,13338,9020,8120,12782,13982,11420,42215,12457,12080,21171,17749,17524,16640,8300,11540,0,6457,38135,14125,13285,15330,17598,43169,51336,39652,,13771,36514,18476,15364,16410,15288,39293,17407,10045,40456,,12207,38467,13921
Leicestershire,10648,8925,5700,18998,4091,12283,5471,12318,11351,9960,40172,13325,12360,8940,11736,11460,47891,13116,9900,13341,8116,9365,10058,14045,8303,35243,39183,6971,9011,10560,1980,6480,43485,8891,9853,13276,8471,13620,8458,7320,13215,9715,8942,9311,16080,9536,41735,11094,10627,43097,,6872,9436,9660,8951,12695,14236,8552,9060,2086,48010,12551,6431,7080,37301,10338,13271,7211,12540,9120,9953,19136,15178,16230,,2231,10140,6011,19080,14401,11471,10530,17115,9618,9960,4980,,9360,7841,15465,3720,11612,10811,7751,14315,15759,13321,10801,8328,10667,6480,12551,5340,14460,9421,12240,10773,15930,12630,19080,9670,11557,6120,7811,7793,8993,8520,37696,8848,9180,17802,13856,15716,13271,7151,8820,7636,0,10576,10870,8733,11351,14324,29230,48634,35133,,10991,31995,13537,12371,13041,10349,42238,16427,9065,36357,,10831,37428,12941
Lincolnshire,16954,14534,16627,27104,13507,16655,15247,25655,25987,22207,47258,18061,16567,14096,18282,20887,14467,19054,20887,18630,13292,137353,49682,52981,13039,52349,52629,16627,14587,15907,12247,11827,59261,18307,16159,21023,15607,18667,14454,13426,22901,14404,13618,13927,20047,15962,53782,16334,16803,33195,,12688,14149,17467,14707,22002,24131,14197,13927,12667,15396,20107,14467,17707,21734,14844,17827,16147,18007,15616,16800,54017,27001,22177,,9607,21758,6547,44647,20407,15727,15156,21671,14834,19447,14647,,20287,18097,23741,14167,21028,14947,17167,26742,20806,21127,17107,14144,22358,17047,17107,17527,20234,15727,17887,20019,66626,17136,44647,13866,23165,12967,17467,13909,14352,20587,55222,13407,22327,28281,17316,23331,18007,16627,13867,18202,14332,0,21290,50444,14057,18830,139396,53190,52659,,23685,49521,20742,18084,19361,15815,52300,28282,19549,53463,,,56034,17088
Northamptonshire,13404,10744,16011,20428,8157,13585,8097,18657,17157,15237,19402,13911,17691,10966,14852,14211,11217,12887,14697,19220,9862,13551,14386,14805,9669,41288,40728,6177,10677,18637,10557,16257,47360,10737,12837,21968,11517,21397,11172,10176,12886,11154,10488,10497,37906,12592,42115,13480,13133,24613,,9378,10599,18880,12057,19652,16195,10767,16011,8020,12536,11811,10437,12177,14377,11967,22491,5817,20677,11935,20630,37070,18345,22423,,10480,16017,13737,22977,17577,11091,12026,26352,11524,16137,15777,,14263,10587,15085,14637,13098,11757,8920,16112,23536,15477,13797,11014,14384,11517,24231,9837,23085,11937,13977,15241,17706,14786,23234,10856,18175,15111,10977,10719,10982,12237,37015,9857,12897,18968,13656,16475,13917,9597,16597,14826,11221,36535,0,33497,15307,14815,41095,51420,37992,,14588,31314,15693,14167,11761,12505,34093,22244,12182,41562,,9551,36867,20072
Nottinghamshire,16087,13667,10339,26237,11599,15788,11659,18319,18439,14899,43751,17194,13819,13229,17415,17800,13600,18187,15559,16420,12425,40862,17675,17734,12172,45821,47321,13219,13720,11920,7819,10639,53953,14959,15292,16141,13960,14620,13587,12559,17187,13537,12751,13060,17560,15095,47254,15467,15936,28728,,11821,13282,12340,13840,15834,19770,13330,12019,8839,14529,15859,13579,12439,20867,13977,16960,14839,13900,14749,12333,43926,23494,18111,,4788,15830,7660,25360,19540,14860,14289,17204,13967,15799,9139,,14071,14569,18413,7837,17860,14080,15065,19374,17239,20260,16240,13277,16206,11719,16240,14119,15940,14860,17020,15711,56535,16269,25917,12999,17837,10360,15199,13042,13485,13699,45131,12540,14779,27414,16449,19443,17140,13639,10120,12214,9135,44651,16494,0,13190,17963,37536,52323,47351,,17086,42993,19875,17217,18351,14948,42209,23626,15469,48155,,44713,27541,15449
Cambridgeshire,8804,7426,13584,18047,8190,10207,10877,17592,16092,19733,17688,10307,14381,6942,10552,12857,7493,11438,17273,16564,5958,11644,15187,17291,5645,24519,39799,9497,6773,12130,12670,9641,40911,13757,10119,16351,5897,14830,7148,6181,18788,7430,6284,7839,17770,8434,43885,9072,9289,20429,,5354,6575,12550,7433,17745,45141,6923,11861,7990,8026,14170,7479,14753,9966,7870,14388,7757,14110,7742,14290,33147,16631,18321,,12713,18593,5981,18437,13930,10390,8115,18232,7200,46390,12521,,17753,13487,44444,13481,16838,8573,12526,45847,17449,11657,9946,6803,15479,14086,13668,10932,16150,8753,11890,18717,38556,10395,18454,6832,20751,10841,12617,6695,7258,12432,31143,6073,13092,15445,10648,17276,11026,13013,10330,18505,12027,26672,13560,29574,0,10913,9199,40360,7163,,14870,27571,12334,10520,14312,9074,12338,16560,13335,35113,,50657,33124,15022
Essex,4739,7299,16232,16853,9332,7924,11192,18323,16823,15572,16502,10046,15392,6981,9847,12503,7052,10937,16232,17335,6031,11486,14718,16586,4280,24165,40755,9812,5612,14372,13043,11792,41013,14072,8312,18593,6452,17072,4459,5818,15087,6616,6804,7652,20012,4444,45527,9531,8728,17380,,5547,6014,15272,6992,19987,18396,6602,13772,9992,7568,14012,8252,13592,8980,7429,17543,8072,16352,4725,16516,34405,16277,20563,,12212,17252,8372,18083,11732,7952,6474,19656,7092,16472,14808,,15392,13802,17286,13832,17153,7823,12572,13003,19691,10052,2552,5302,16210,12992,16823,11132,18392,7172,9572,16476,27937,4267,18100,4351,18510,12812,12932,5990,6851,13163,16533,5089,13823,15091,9838,16807,8663,13112,12572,18878,13249,33466,13875,30832,10482,0,34748,45706,31383,,15601,28245,10249,8657,11193,7320,11869,16206,13708,35215,,13359,33798,16753
Hertfordshire,11017,8024,16210,21647,6010,11138,13570,20018,20830,19450,17981,12724,16570,7919,11745,14890,10390,12097,16210,18453,7215,49189,45185,,7948,47852,48132,12190,8350,15970,11290,13270,54764,14050,11182,21327,5890,18730,9572,6119,20961,9667,5158,8950,45310,11525,74945,10829,11646,56271,,5489,9112,16450,12670,22526,50061,10067,15490,9130,9819,14950,4450,13750,11090,11007,20050,10270,18010,9979,21663,49520,18724,20762,,12010,17530,10210,21190,14770,10450,10359,47954,9017,17830,16150,,15757,16120,22664,13690,17551,10450,14170,17985,20869,13450,11770,8791,18417,13210,42250,11410,19630,10750,12130,23622,62129,13299,20470,9069,18668,14410,13510,6652,9323,15430,50725,8187,16090,16301,10625,18654,11590,12670,13930,48848,10642,50245,15833,45947,9620,44828,0,,,,17748,45024,13365,9860,15741,11138,47803,18822,15675,48966,,46744,51597,18651
Norfolk,16778,16951,22314,28051,18714,19406,20154,49342,28554,29989,42205,20808,21954,16543,19949,23454,17214,21741,28134,23837,15679,,49729,54888,15246,47296,52676,18774,16494,21354,17814,16254,54208,22734,18529,26711,16074,24114,16699,15825,25767,16838,16005,16614,49854,16009,64048,18481,19550,32282,,15195,16296,21834,17154,25510,30545,16448,18474,16794,17632,26634,17214,24714,22681,17651,26454,18234,23394,16673,26207,,28908,27166,,15714,26274,11814,39594,23094,18114,16703,52498,16921,25614,19134,,26819,22704,29188,20154,26535,17634,22254,27689,26253,22074,18414,16215,27101,24174,46794,23634,25802,18474,19734,24926,61573,19038,39594,16553,29023,17394,21834,16596,17443,23154,50169,15674,23814,29228,19789,48338,19494,21594,19314,45789,18131,49689,25837,45391,12244,19777,,0,47606,,25592,44468,21689,19478,22085,17902,47247,39941,23999,48410,,46188,55121,21635
Suffolk,11018,11641,19794,23731,13314,13762,15834,23482,24294,20934,21445,14448,,11683,15029,16554,11394,15561,20874,,10759,45060,43789,52368,9211,46456,46736,14454,11574,18834,16554,13734,53368,18534,13014,24191,11694,21594,11349,10085,21688,11331,11202,10974,43914,9349,60090,13657,14030,24790,,10273,10776,19314,12234,22990,22085,11292,15954,14874,12713,18414,14094,18234,11554,12144,23934,12414,20874,8933,22067,48124,20388,24646,,16194,21594,12294,23154,17754,12294,11063,46558,12001,21594,16614,,20334,18684,21628,19074,23175,13434,17634,20969,23733,15654,11248,11024,21881,17574,40854,15774,23282,12414,14154,21718,147433,13163,23411,9833,23949,14874,19374,11002,12210,18894,49329,10511,19554,19165,15442,22118,13674,17574,16794,20589,16271,48849,19117,44551,7924,11390,,46337,0,,21212,43628,15870,14344,17525,12682,46407,22421,19139,47570,,45348,49181,19115
Cumbria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Lancashire,15823,13116,10829,21306,15629,16257,6929,4642,2400,2669,21420,16583,8369,13471,16804,13409,13169,15536,5489,8752,12414,,10056,8994,12281,41331,41102,8909,13289,11069,9509,10020,48243,8189,15053,16457,14429,13260,13696,12788,4971,14006,13160,11729,15629,15444,42764,14381,15565,28388,,12050,13031,12329,14009,11265,6317,13258,8369,11909,14398,4289,14729,4049,19536,14639,13409,10529,12929,14427,14093,33039,17127,15979,,11100,6360,14429,21029,20849,13109,14818,17253,13776,5789,9269,,3449,8039,7630,7920,7227,14849,10489,16264,15879,16889,16049,13866,3016,5249,12689,7049,16200,13889,14189,7021,14808,16738,21029,13528,7771,10169,8369,13331,13422,2249,39584,12469,1589,22140,16644,7199,15029,5489,10409,13484,14086,33764,15492,33186,17259,16632,44498,45532,38012,,0,34874,19445,15699,13779,15417,36662,18376,11014,42445,,13176,34096,14062
East Sussex,11754,10054,19587,21244,11907,10874,14667,23395,24207,20847,17758,11421,19587,10336,5342,15927,8700,14472,20787,21590,9352,13641,41527,19941,8595,39782,44474,13167,6327,18027,16467,14907,46694,18147,10912,22363,9807,20427,9169,9474,21259,9259,9678,9747,21387,12607,48882,11086,11180,17135,,8688,8769,18807,8547,23342,21511,8865,17487,13887,9565,17427,10407,17367,12607,8984,19947,11427,19947,9865,20720,41450,20301,23517,,15867,20607,11607,23067,9807,11307,10436,23011,8314,22527,18163,,20247,17697,20641,17187,23088,11487,16167,19718,23046,11847,12687,8824,20488,16767,20307,15687,21747,8427,13107,19739,54059,12416,23324,9866,20262,16527,16227,9969,8029,18807,42655,7985,19467,18478,11887,20506,11487,16467,16227,20502,15344,42175,17230,37877,14437,12910,40429,54530,40092,,21125,0,13604,11017,15218,10015,10860,22334,19052,40896,,38674,42507,20828
Hampshire,9827,7947,18080,13938,10640,8988,10040,18860,17360,16100,9051,5834,18020,8229,9175,8720,6920,11327,18500,20083,7099,13754,16455,18374,6063,21762,42242,8720,5480,15560,12980,13640,55773,13329,8180,22476,8060,17840,7175,7334,17728,7204,7691,7940,21500,9675,42915,9868,10176,10948,,6581,6482,18920,5960,21775,19344,6518,15620,11780,7878,15560,8720,15800,11193,6218,19280,8480,17240,7878,18253,34779,12314,20472,,13940,18920,10160,15740,3380,3860,8689,23124,5967,18980,16100,,17504,12950,18954,15440,16001,5840,10100,9478,20459,3579,10280,6837,16747,15140,18560,13340,19887,6140,5840,18532,22519,10547,16417,7339,18695,14720,12140,7922,5279,13700,11115,5818,14360,10551,7795,18544,5060,11540,13580,16895,14132,35504,15543,31206,12750,10661,33758,51283,33421,,16138,41983,0,10350,7769,3588,9406,13912,11990,35696,,9627,35836,17341
Kent,8597,6477,16070,17727,10670,7158,11030,18830,17330,15410,16948,8684,15230,6819,9685,13010,2630,10775,16070,17173,5835,10573,14925,16424,5078,24672,39112,9650,5450,14210,13257,11630,40044,13910,8150,18431,6290,16910,6252,5864,14925,6094,6221,6170,19850,7725,43865,9369,8146,19689,,5171,5252,15110,6830,19825,18234,5600,13610,10130,4729,13850,8210,13430,3152,6601,16099,7910,16190,7319,16723,33300,16784,20401,,12350,17090,8210,18590,12410,7790,7128,19494,5937,16310,14646,,15230,13640,17124,13670,16991,7970,12410,12841,19529,10917,9050,5993,16717,12830,15379,10670,18230,6110,9410,16314,35229,,18607,6349,18348,12650,12770,6452,5609,13670,35885,4468,14330,15598,10039,17014,8690,12470,12410,19092,13387,31505,13713,29727,10320,8620,11279,47502,31942,,16108,10766,11594,0,12738,7998,12076,16713,13915,34246,,13197,31837,16591
Oxfordshire,10125,8747,13950,13229,10720,11412,5970,18330,16830,14910,11882,5914,17490,7509,13075,8800,8800,6601,14370,18711,7059,12034,13328,16239,8328,20042,42027,4650,8560,15640,9030,13720,37554,9150,7360,20756,8140,17920,8162,7867,13474,7662,8491,7600,19780,9875,37769,6207,7924,17328,,7081,6442,17200,9260,19325,16654,8050,14130,11430,9218,12810,9400,11670,12200,8698,18340,6450,17320,9049,18333,35629,12394,20552,,12870,14790,10240,14680,10540,3280,10369,21404,8387,15810,12870,,13374,8820,15724,11310,11871,4120,5670,9558,20539,7351,11260,7817,14057,11010,18640,9210,19967,10040,5920,14102,18284,11709,14697,8139,14908,13050,8070,8362,8391,11910,15155,8344,12570,8831,5948,15975,5140,7410,13660,13005,13607,31842,11917,32056,12230,12218,30096,50743,33243,,14261,29901,9297,12870,0,9068,13686,13537,10535,31756,,5797,12132,17421
Surrey,6794,5154,13650,13305,8627,6015,8447,16035,14207,13907,9258,5261,14447,5136,6202,9287,3947,9290,13847,16630,4272,9041,12582,14201,3090,21909,37969,7007,2507,12287,9887,9707,55980,11567,5772,17348,4607,14867,4202,4241,13731,3819,4598,4067,18047,6402,41522,7266,5769,11399,,3548,3629,14387,2267,17482,16378,3495,11927,8207,5305,11867,7187,11207,6900,3485,15827,6827,14087,4845,15100,31497,13065,17019,,10727,14567,6707,15887,6047,3887,5656,19671,2514,14687,12587,,13307,11237,15081,12407,15008,5927,9827,8218,17006,3647,6887,3924,13788,10547,15107,8747,16434,3287,6347,14691,20886,7396,16564,4726,15585,10907,11027,4829,2579,11327,25382,2845,11987,10698,6196,15332,4487,10787,10247,13922,10204,30962,11396,27924,8277,7759,29216,46330,28879,,13705,8521,3918,6897,8217,0,9133,14059,10877,31963,,11347,31294,13888
West Sussex,11782,9962,19575,18486,14275,11243,13795,20263,21075,19975,16886,10549,19215,10004,6880,16865,8635,13600,19915,21098,8960,38862,42024,19069,8263,40258,44971,12295,5935,18615,15595,15775,,17275,10940,23972,10795,21375,8897,9094,20387,9279,9406,9595,42149,11210,46124,11798,11328,14053,,8296,8497,19095,7975,22470,20639,8593,17995,13015,9965,16555,11335,16495,12695,8112,22375,10555,20655,9413,24178,,21719,23087,,14995,19735,12715,22685,8165,11335,10764,44013,7802,20635,18655,,19375,16825,19769,18115,19956,10615,15295,20980,23514,9955,11995,8852,19616,15895,39089,14815,23063,8755,13195,18867,54535,12204,22942,9534,19390,16915,15355,9577,7534,15675,43131,7593,16335,21696,12684,19634,10615,15595,16575,19630,14472,42651,16358,,13565,12038,67665,51398,40568,,17993,37430,12732,11585,15006,9143,0,21952,15920,41372,,39150,42983,21156
Devon,14351,13444,20976,12056,14024,14371,10558,41789,24418,21058,13815,10178,22258,11913,15799,5098,12164,15809,20938,24421,11203,36890,41766,28865,11367,10580,50086,12238,12104,19964,13018,19318,15669,13558,11816,49117,13424,22664,12331,12023,21752,11201,12635,12044,47264,14559,45866,13072,12441,19860,,11285,10646,22498,13004,25353,22982,12142,18118,15418,13393,18958,13064,17638,19625,12674,24104,14278,21944,13313,25011,46101,10016,24816,,16858,20758,16604,5732,12404,7724,13513,44535,12651,22500,18314,,20518,13348,22592,15658,16399,9524,12478,8733,24803,9524,15704,12021,22977,17638,44204,15058,23684,12884,7738,21231,42354,15733,3584,12403,22016,17158,12778,12506,12175,20098,30950,11581,20758,12066,11773,22182,9404,12118,17984,17053,17535,26099,19181,42528,16254,17427,53681,47314,38596,,22536,35458,13520,15114,12113,15117,38237,0,9328,6067,,43325,41011,21685
Gloucestershire,12435,10615,12329,8027,13008,12676,4769,16709,15209,13289,13939,7302,15869,9397,14003,3348,10188,12975,13949,17932,8687,,14304,13865,9216,19630,43910,6449,9948,15689,7409,12749,37905,7529,9648,20325,10548,18389,9843,9615,11853,8325,10179,9168,19349,11863,9022,11336,10499,20280,,8769,8070,16769,10428,17704,15033,9618,12509,9809,11267,11189,13788,11309,13348,10626,17909,8429,17549,10546,18682,35001,6582,21479,,11249,14969,13368,11328,12588,5028,10937,20973,9775,15209,11249,,13829,7199,14103,9689,11910,7488,8149,2963,21008,9408,12648,9505,12436,10709,18269,9269,19709,11208,3048,14193,14910,12857,11028,9647,16227,11429,6989,10050,10379,10289,36206,8705,10949,7608,9136,14354,6528,6089,14009,11384,12194,35726,13392,31428,13378,12691,33980,54311,36703,,12640,33565,10985,14038,9024,9556,15074,9395,0,32107,,11076,33298,16390
Somerset,19010,17717,23341,14421,19283,18711,12923,44021,26783,23423,17574,15437,24623,16152,21058,7163,17003,21050,23303,26786,15912,,43998,47297,15671,20565,53845,14603,16883,27263,15383,21683,53577,15923,16073,51482,16883,31256,16658,16167,24117,15560,16814,16043,51023,18618,48098,17170,17207,23619,,15584,14705,24863,16763,27718,25347,16481,20483,17783,17481,21323,18323,20003,21990,17069,42563,16643,30143,17672,27376,48333,7881,50585,,19223,23123,19823,12263,16163,11903,17872,53324,16683,24865,20679,,22883,15713,24957,18023,18764,13703,14843,11098,48662,13283,19163,16260,25342,20003,47963,17423,45315,17543,10103,23596,60942,20207,11963,16762,24381,19523,15143,16865,16714,22463,,15640,23123,13014,15498,24547,13883,14483,24503,19418,19900,,21546,44760,21513,21021,,48346,,,24901,,17279,20373,16233,15891,,10330,11885,0,,45557,49390,27393
Staffordshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Warwickshire,13146,10606,14619,17703,14019,12847,4359,18177,17559,16539,13990,9153,16299,10648,14474,12819,10659,9604,15039,19260,9484,,14755,14493,9411,43908,42581,3898,10419,18399,9159,15039,50820,8199,11802,23756,11019,21159,10706,9753,15612,10596,10050,10299,39759,12454,45341,11122,13235,23794,,9060,10041,20259,10899,19994,16063,10389,14619,8499,11588,11979,12459,12339,16126,11036,21099,7119,20439,11917,21092,45576,16953,24211,,11079,15459,11859,19599,13419,5679,11708,24960,11026,15519,13539,,14043,7329,15193,11979,12540,7419,3819,12854,23298,9459,13299,10680,16886,11679,22839,9879,23079,11679,8559,15071,58185,15128,18879,10418,14814,13719,7239,10341,10544,12459,46781,9539,13119,14710,9214,15058,7599,8079,16359,13434,10671,46301,12202,42003,13849,15157,46548,45589,44218,,14897,41080,12015,14509,8187,12007,43859,17231,8924,45022,,0,46633,18680
Worcestershire,17131,16438,14214,22262,15604,18096,7624,18784,17284,15364,21395,12958,15894,14993,19659,12424,15844,16589,16024,19347,14693,,16379,13759,14872,49307,48747,9964,15604,22165,10684,16585,55379,10371,14596,23351,16204,41245,15439,15043,15397,13981,15415,14164,45925,17339,49900,15852,15221,28353,,14425,13426,18474,15784,19779,17960,15334,14214,11884,16773,13804,17644,13384,19321,15454,20694,13144,25045,16093,22278,50135,16738,23806,,13324,17044,12445,21004,20284,10504,16533,24555,15431,17284,16405,,15904,9994,17078,12805,,11344,10804,12219,43564,16864,18484,15101,14511,12784,22434,11344,22674,16864,13144,16268,62218,18513,21004,15183,18302,13314,10624,15706,14955,12364,51340,14361,13024,18325,12992,18468,12184,9244,16254,13029,14056,50860,15467,46562,19034,20207,,50148,48777,,14715,45639,19420,19334,10454,17012,48418,18351,8974,49581,,13151,0,18275
